status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
verified	approximate	30945	24643		46147789ccb2a573f9384fef71a6ae2aeab68f3a907f5e2e7b482a96784813c2	ba0eca0c12c586a78bc8c0390b371f7d5c62ad1524bf58808d459cda3791c111	16 volume-column fine slides are discarded; 129 volume-column slides that share a main effect are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/mamma%20mia.xm	Dalezy/mamma mia.xm	
verified	approximate	9186	8923		993ea18b64766e9bf99382cd88849c8e0894d0fd8f87ffff3f2c82f6966599df	99585c2220de797673f60fb4349d0700622f34bd41343b7ab2d70a1ac8f93eda	672 volume-column slides that share a main effect are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/melodious%20v2.xm	Dalezy/melodious v2.xm	
verified	approximate	22764	15202		bc943e26e2404dc19ce225abf35cfcd4637f2388f17d3b6305cec82b8a1cc236	3e2373e22652db6a393179b79dcc9bd575ccff339f8267a861efb02b4197b8a6	941 volume-column slides that share a main effect are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/melodious.xm	Dalezy/melodious.xm	
verified	approximate	10884	5871		ebfeb13dd5f505773baed37fee1288ff855edc76ef32b11ccd322da4d8461a76	40e72f2f59c86c005c12a2ad7b5a9e486f62098c688b3692439f5c857a1a50a1	panning commands are discarded because hardware output is mono; enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/met%20her%20at%20loveparade.xm	Dalezy/met her at loveparade.xm	
verified	exact	15924	8940		d1dbc161c9c893d1e510b252ab1618a16a3cad18338508b92faca53e222a1e9c	bb06e64d7912adcb9071fad7ff45ff96033d15ae6057c3f77e85bff4557cb64c		https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/mos%20eisley%20-%20grijpze.xm	Dalezy/mos eisley - grijpze.xm	
verified	approximate	19205	6815		768c6907d30ae425365626ac69aeb7782d787a470aa406d6bdce4dda9cc2bd16	7a7c06ad246dd2ac27e610102fefdf3810d9b88b85e02e5bb0f5fd04a1be6cd3	40 volume-column fine slides are discarded; 105 volume-column slides that share a main effect are discarded; multisample instruments use only the sample mapped by their most common note	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/musik%20fuers%20gehirn.xm	Dalezy/musik fuers gehirn.xm	
verified	approximate	12130	12107		8bc0c85e4927557582ddf237d2264b33125eaa3efd3d57d667ea39b9bf403d66	6473491ead3575d4964bbf6c24b3be9c99846f2335be883933fd478423d76329	53 volume-column fine slides are discarded; 1 volume-column slides that share a main effect are discarded	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/oldstyled.xm	Dalezy/oldstyled.xm	
verified	approximate	2666	1191		e3ca414788f3142d7567a6a589c0eca97fa2f8da16748f370be0f67f74569af3	9167d4d05934354877511ae121a6630a366e012fc23f6897606399cf6821c903	instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/p%27tau%20t%27pau%20ohmann.xm	Dalezy/p'tau t'pau ohmann.xm	
verified	approximate	3293	2399		0a89344ab46e947e533490b51b4da49d7e7310d879c6d90af89e7fdcd7b6d571	d180b5e2e15e54211eb05189d8de5c6ad510bdd9af6580bf55c967c46e59029f	80 vibrato-volume slides keep only the volume slide	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/pacrunner%20crypt%27tro.xm	Dalezy/pacrunner crypt'tro.xm	
verified	approximate	24720	12506		ef11ef9d5e033b26d66aec73b6d1bdf5ced5abc331a51514d8c4e28405e382d2	946ea907230790b26f6b00c3ab910cb57b50ccdfff103ae053e4e48d46a54e31	53 volume-column slides that share a main effect are discarded; enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/page.xm	Dalezy/page.xm	
verified	approximate	14981	12429		a793720b99dda974e051238bb3b4861718f48befb7647fa4ce49543f97b0e8ac	e24b551a6d1d1652e9a31149be130167b5980982c77c89881d07d75638edbcf3	117 volume-column fine slides are discarded; enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/pledge.xm	Dalezy/pledge.xm	
