status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
too-large	approximate	437588	310048	340281	3b51cf04164f95523e7ddfc79f886c75b31bec119f8c47f573dc336fcec6cda6	f7f870c904aeb6cc0e81aa2871f382b38db8ff26aee18c8ee638bc7564a4d363	3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 24 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/lightforce.mod	Mahoney/lightforce.mod	
too-large	approximate	74844	52510	82743	e83432936bbc1e4efcb5a4ce0950309f5bb879381327da0ec17e68ca419fcab0	4c4f4632fa51c16e3ffd55c1ad644572da93a20e4aa670c4f65a0ba49dc7016b	17 tone-portamento+volume slides keep only tone portamento; 7 vibrato-volume slides keep only the volume slide; 198 tremolo commands are discarded; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/moneybrain.mod	Mahoney/moneybrain.mod	
fit	approximate	44480	30655	60888	55edf3c32320eb7cbe32889e410c1c03edf42235b55fe16bbcd0dd20dc5bad02	b93691a85371d2168fe3a41625b50bdbfd76fe250fb55c04dfb15534c4f6c214	panning commands are discarded because hardware output is mono; 1 tone-portamento+volume slides keep only tone portamento; 1 vibrato-volume slides keep only the volume slide; 2 tremolo commands are discarded; 4 non-looped samples become 16 kHz PCM one-shots; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/mozart.mod	Mahoney/mozart.mod	
too-large	approximate	154708	107438	137671	e7cf87c29b77ad466a9297dbd88873d3b92d2e22f240f57c0025db81b3ac8267	c20fdd592820952c9107543d9f4fd1e1a401e12b48bf41e7db4837a1e900ad0c	2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 13 non-looped samples become 16 kHz PCM one-shots; 10 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/38.7%20degrees.mod	Tip/38.7 degrees.mod	
too-large	approximate	84640	44318	74551	1b9136bebed6c68557972871183a061a582962cff1e0b88b813b8a93b0f189db	894b27d21235a14e1bb27a0f4f6571a32948d53ab84bcc03d017b19577a70f3f	1 invert-loop commands are discarded; 6 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 9 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/a%20monster%20is%20loose.mod	Tip/a monster is loose.mod	
too-large	approximate	102994	60578	90811	4ce3ac8214e5fd2528c8f6206c24f94bc399de45589ca5ec48e1aad44fb98aee	21805a20aebb1e3fc345fbeaebc950e30a9747c8dc6ccf69db477dbd1043ffd5	22 Amiga LED filter commands are ignored; 1 invert-loop commands are discarded; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 10 non-looped samples become 16 kHz PCM one-shots; 9 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/above%20us%20all.mod	Tip/above us all.mod	
too-large	approximate	144030	73303	103536	279660d6d07f3b036cf18e644c37820501569e7972917d029b727d9ae2772cde	5f90fbc03f943e353d849b034e1035c9f5f47936c6561afc08e5979d92ff203a	2 invert-loop commands are discarded; 12 set-volume commands above 64 are clamped; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 8 non-looped samples become 16 kHz PCM one-shots; 8 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/acker.mod	Tip/acker.mod	
too-large	approximate	175354	113322	143555	5cef1820f2b701033cba8ff32d984fc1bd06ff5bca9262f409f15f2136baa300	706168267bdb7ca98ed9b8505abf33119e54b7ea0a61b1e93b98be4711e13ab1	1 tone-portamento+volume slides keep only tone portamento; 207 vibrato-volume slides keep only the volume slide; 8 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 18 non-looped samples become 16 kHz PCM one-shots; 24 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/disaster%20is%20obvious.mod	Tip/disaster is obvious.mod	
too-large	approximate	171808	109694	139927	15774f3e8546dfa2dad73e5438944525b0567adbe12c4cce8377fba9146894b4	10138ae2174df60a0645ffdb30d05cd2a1249f5d81b8f28edf867b31a440d614	29 vibrato-volume slides keep only the volume slide; 1 Amiga LED filter commands are ignored; 12 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 6 non-looped samples become 16 kHz PCM one-shots; 16 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/forgotten%20minds.mod	Tip/forgotten minds.mod	
too-large	approximate	77414	45574	75807	f78e7cb7064c0b7a72cadf8b813baeb27653ef06d7aa802f2f8f45854d89092b	d166801fded7adca29eadbd0a203358127475e6808835b6838801726b3f42f34	2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 6 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Tip/gummi-sugis.mod	Tip/gummi-sugis.mod	
